City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,farafangana,48,MG,1528746458,100,-22.82,47.83,73.61,8.95
88,naze,20,NG,1528743600,88,5.43,7.07,80.6,5.82
89,provideniya,68,RU,1528746458,100,64.42,-173.23,36.71,1.57
90,iralaya,56,HN,1528746458,100,15.0,-83.23,78.02,7.27
91,ancud,56,CL,1528746375,82,-41.87,-73.83,44.63,2.57
92,mvuma,0,ZW,1528746459,69,-19.28,30.53,49.58,12.19
93,abu kamal,0,SY,1528746460,18,34.45,40.92,77.66,9.28
94,castro,88,CL,1528746335,86,-42.48,-73.76,44.99,2.35
95,iqaluit,20,CA,1528743600,80,63.75,-68.52,33.8,5.82
96,nemuro,92,JP,1528746460,100,43.32,145.57,49.49,27.63
97,coahuayana,80,MX,1528746461,64,18.62,-100.35,79.73,2.91
98,monrovia,75,LR,1528743600,88,6.33,-10.8,80.6,9.17
99,adrar,0,DZ,1528743600,12,27.87,-0.29,100.4,9.17
100,atuona,8,PF,1528746314,100,-9.8,-139.03,79.55,8.72
101,razole,92,IN,1528746462,100,16.48,81.84,81.08,17.78
102,vredendal,12,ZA,1528746462,64,-31.68,18.49,48.41,4.59
103,hithadhoo,100,MV,1528746357,100,-0.6,73.08,83.06,10.18
104,upernavik,76,GL,1528746325,97,72.79,-56.15,30.68,15.55
105,rosetown,92,CA,1528746463,58,51.55,-107.99,52.64,19.69
106,egvekinot,0,RU,1528746463,93,66.32,-179.17,44.99,2.35
107,mallapuram,44,IN,1528746464,80,11.97,78.27,74.6,7.94
108,tranby,0,NO,1528744800,67,59.81,10.27,62.6,8.05
109,lompoc,1,US,1528745700,25,34.64,-120.46,84.2,10.29
110,fortuna,20,ES,1528745400,73,38.18,-1.13,71.6,2.24
111,itoman,40,JP,1528744560,73,26.12,127.67,78.8,8.05
112,cesis,100,LV,1528746465,82,57.31,25.27,64.25,10.18
113,ust-uda,0,RU,1528746465,82,54.17,103.03,48.32,1.57
114,mar del plata,88,AR,1528746301,94,-46.43,-67.52,37.25,6.15
115,venice,1,US,1528743300,62,27.1,-82.45,87.8,11.41
116,port hardy,40,CA,1528743600,71,50.7,-127.42,57.2,8.05
117,leningradskiy,0,RU,1528746410,90,69.38,178.42,34.73,2.13
118,kommunisticheskiy,0,RU,1528746466,85,61.68,64.48,36.17,2.68
119,ventersburg,0,ZA,1528746467,72,-28.08,27.14,37.16,5.93
120,cap-aux-meules,40,CA,1528743600,61,47.38,-61.86,48.2,11.41
121,alakurtti,92,RU,1528746467,94,66.96,30.34,42.74,9.84
122,jieshi,24,CN,1528746467,100,22.82,115.83,77.93,3.24
123,severo-kurilsk,12,RU,1528746304,100,50.68,156.12,38.69,5.82
124,college,90,US,1528745160,87,64.86,-147.8,44.6,4.7
125,rawson,75,AR,1528745100,100,-43.3,-65.11,41.0,10.29
126,burnie,92,AU,1528746469,100,-41.05,145.91,55.88,21.03
127,yellowknife,90,CA,1528743600,87,62.45,-114.38,51.8,25.28
128,karasjok,75,NO,1528744800,80,69.47,25.52,41.0,19.46
129,nanyang,44,CN,1528746470,73,33.0,112.53,69.56,6.26
130,pisco,20,PE,1528743600,68,-13.71,-76.2,69.8,14.99
131,butaritari,68,KI,1528746309,100,3.07,172.79,83.51,8.39
132,lagoa,0,PT,1528745400,60,37.14,-8.45,69.8,12.75
133,lebu,56,ET,1528746352,92,8.96,38.73,51.83,2.91
134,hami,48,CN,1528746471,35,42.84,93.51,69.56,1.9
135,karratha,0,AU,1528746471,66,-20.74,116.85,56.24,4.59
136,yar-sale,64,RU,1528746471,82,66.83,70.83,37.25,5.26
137,isangel,64,VU,1528746311,100,-19.55,169.27,74.24,7.61
138,high level,90,CA,1528745160,93,58.52,-117.13,51.8,13.87
139,talnakh,48,RU,1528746336,71,69.49,88.39,42.92,10.85
140,pedernales,48,EC,1528746472,74,0.07,-80.05,80.63,8.72
141,beian,75,NO,1528744800,76,63.66,9.57,48.2,12.75
142,geraldton,20,CA,1528743600,26,49.72,-86.95,78.8,12.75
143,argentan,92,FR,1528745400,93,48.74,-0.02,59.0,8.05
144,carnarvon,12,ZA,1528746326,60,-30.97,22.13,34.73,4.36
145,shingu,0,JP,1528746474,99,33.72,135.99,71.27,10.29
146,dakoro,0,NE,1528746474,48,14.51,6.76,81.35,9.17
147,masalli,88,KR,1528743600,88,34.8,126.66,66.2,5.82
148,lodja,20,CD,1528746429,46,-3.52,23.6,77.21,3.91
149,sioux lookout,75,CA,1528743600,41,50.1,-91.92,78.8,11.41
150,tuatapere,24,NZ,1528746354,100,-46.13,167.69,39.86,5.14
151,virginia beach,90,US,1528745040,88,36.85,-75.98,73.4,20.8
152,port elizabeth,90,US,1528743960,72,39.31,-74.98,66.2,10.29
153,lafia,92,NG,1528746476,75,8.5,8.51,80.36,1.9
154,bandar,8,ID,1528746476,80,-4.2,104.14,77.21,5.26
